NAME,topic,group,geography,label,estimate,pct,reliable,estimate_reliable,pct_reliable
United States,cvap,Asian American Alone,national,CVAP,17580125,0.548,YES,17580125,0.548
United States,cvap,NHPI Alone,national,CVAP,537170,0.638,YES,537170,0.638
Alabama,cvap,Asian American Alone,state,CVAP,65215,0.441,YES,65215,0.441
Alabama,cvap,NHPI Alone,state,CVAP,1535,0.717,YES,1535,0.717
Alaska,cvap,Asian American Alone,state,CVAP,45730,0.516,YES,45730,0.516
Alaska,cvap,NHPI Alone,state,CVAP,8760,0.588,YES,8760,0.588
Arizona,cvap,Asian American Alone,state,CVAP,224785,0.516,YES,224785,0.516
Arizona,cvap,NHPI Alone,state,CVAP,12695,0.669,YES,12695,0.669
Arkansas,cvap,Asian American Alone,state,CVAP,44520,0.448,YES,44520,0.448
Arkansas,cvap,NHPI Alone,state,CVAP,8265,0.177,YES,8265,0.177
California,cvap,Asian American Alone,state,CVAP,5570405,0.613,YES,5570405,0.613
California,cvap,NHPI Alone,state,CVAP,141695,0.687,YES,141695,0.687
Colorado,cvap,Asian American Alone,state,CVAP,171660,0.523,YES,171660,0.523
Colorado,cvap,NHPI Alone,state,CVAP,7515,0.701,YES,7515,0.701
Connecticut,cvap,Asian American Alone,state,CVAP,160070,0.468,YES,160070,0.468
Connecticut,cvap,NHPI Alone,state,CVAP,1065,0.836,YES,1065,0.836
Delaware,cvap,Asian American Alone,state,CVAP,36830,0.425,YES,36830,0.425
Delaware,cvap,NHPI Alone,state,CVAP,295,0.763,YES,295,0.763
District of Columbia,cvap,Asian American Alone,state,CVAP,26770,0.62,YES,26770,0.62
District of Columbia,cvap,NHPI Alone,state,CVAP,280,1,YES,280,1
Florida,cvap,Asian American Alone,state,CVAP,560095,0.566,YES,560095,0.566
Florida,cvap,NHPI Alone,state,CVAP,12230,0.682,YES,12230,0.682
Georgia,cvap,Asian American Alone,state,CVAP,404525,0.476,YES,404525,0.476
Georgia,cvap,NHPI Alone,state,CVAP,5260,0.653,YES,5260,0.653
Hawaii,cvap,Asian American Alone,state,CVAP,524110,0.733,YES,524110,0.733
Hawaii,cvap,NHPI Alone,state,CVAP,132820,0.62,YES,132820,0.62
Idaho,cvap,Asian American Alone,state,CVAP,23180,0.508,YES,23180,0.508
Idaho,cvap,NHPI Alone,state,CVAP,2350,0.643,YES,2350,0.643
Illinois,cvap,Asian American Alone,state,CVAP,693890,0.532,YES,693890,0.532
