GEOID,NAME,topic,group,geography,label,estimate,pct,summary_est,reliable,estimate_reliable,pct_reliable
1,United States,LEP,Asian American Alone,national,Speak another language,12436655,0.747,16645680,YES,12436655,0.747
1,United States,LEP,Asian American Alone,national,LEP,5532712,0.332,16645680,YES,5532712,0.332
01,Alabama,LEP,Asian American Alone,state,Speak another language,45411,0.745,60931,YES,45411,0.745
01,Alabama,LEP,Asian American Alone,state,LEP,22260,0.365,60931,YES,22260,0.365
02,Alaska,LEP,Asian American Alone,state,Speak another language,33188,0.753,44071,YES,33188,0.753
02,Alaska,LEP,Asian American Alone,state,LEP,17069,0.387,44071,YES,17069,0.387
04,Arizona,LEP,Asian American Alone,state,Speak another language,153918,0.709,217238,YES,153918,0.709
04,Arizona,LEP,Asian American Alone,state,LEP,60548,0.279,217238,YES,60548,0.279
05,Arkansas,LEP,Asian American Alone,state,Speak another language,29737,0.718,41388,YES,29737,0.718
05,Arkansas,LEP,Asian American Alone,state,LEP,13512,0.326,41388,YES,13512,0.326
06,California,LEP,Asian American Alone,state,Speak another language,3982788,0.747,5329621,YES,3982788,0.747
06,California,LEP,Asian American Alone,state,LEP,1849866,0.347,5329621,YES,1849866,0.347
08,Colorado,LEP,Asian American Alone,state,Speak another language,112222,0.687,163257,YES,112222,0.687
08,Colorado,LEP,Asian American Alone,state,LEP,49246,0.302,163257,YES,49246,0.302
09,Connecticut,LEP,Asian American Alone,state,Speak another language,113390,0.756,149932,YES,113390,0.756
09,Connecticut,LEP,Asian American Alone,state,LEP,43618,0.291,149932,YES,43618,0.291
10,Delaware,LEP,Asian American Alone,state,Speak another language,26479,0.769,34419,YES,26479,0.769
10,Delaware,LEP,Asian American Alone,state,LEP,9567,0.278,34419,YES,9567,0.278
11,District of Columbia,LEP,Asian American Alone,state,Speak another language,14410,0.558,25843,YES,14410,0.558
11,District of Columbia,LEP,Asian American Alone,state,LEP,4205,0.163,25843,YES,4205,0.163
12,Florida,LEP,Asian American Alone,state,Speak another language,369577,0.692,534124,YES,369577,0.692
12,Florida,LEP,Asian American Alone,state,LEP,149836,0.281,534124,YES,149836,0.281
13,Georgia,LEP,Asian American Alone,state,Speak another language,301507,0.796,378964,YES,301507,0.796
13,Georgia,LEP,Asian American Alone,state,LEP,129758,0.342,378964,YES,129758,0.342
15,Hawaii,LEP,Asian American Alone,state,Speak another language,225091,0.435,517919,YES,225091,0.435
15,Hawaii,LEP,Asian American Alone,state,LEP,126088,0.243,517919,YES,126088,0.243
16,Idaho,LEP,Asian American Alone,state,Speak another language,13585,0.601,22615,YES,13585,0.601
16,Idaho,LEP,Asian American Alone,state,LEP,6057,0.268,22615,YES,6057,0.268
17,Illinois,LEP,Asian American Alone,state,Speak another language,504090,0.772,653056,YES,504090,0.772
17,Illinois,LEP,Asian American Alone,state,LEP,191312,0.293,653056,YES,191312,0.293
18,Indiana,LEP,Asian American Alone,state,Speak another language,104827,0.77,136140,YES,104827,0.77
18,Indiana,LEP,Asian American Alone,state,LEP,48207,0.354,136140,YES,48207,0.354
19,Iowa,LEP,Asian American Alone,state,Speak another language,53162,0.754,70484,YES,53162,0.754
19,Iowa,LEP,Asian American Alone,state,LEP,27795,0.394,70484,YES,27795,0.394
20,Kansas,LEP,Asian American Alone,state,Speak another language,60616,0.77,78677,YES,60616,0.77
20,Kansas,LEP,Asian American Alone,state,LEP,28217,0.359,78677,YES,28217,0.359
21,Kentucky,LEP,Asian American Alone,state,Speak another language,44526,0.756,58893,YES,44526,0.756
21,Kentucky,LEP,Asian American Alone,state,LEP,20450,0.347,58893,YES,20450,0.347
22,Louisiana,LEP,Asian American Alone,state,Speak another language,58611,0.777,75385,YES,58611,0.777
22,Louisiana,LEP,Asian American Alone,state,LEP,28926,0.384,75385,YES,28926,0.384
23,Maine,LEP,Asian American Alone,state,Speak another language,9429,0.655,14398,YES,9429,0.655
23,Maine,LEP,Asian American Alone,state,LEP,4433,0.308,14398,YES,4433,0.308
24,Maryland,LEP,Asian American Alone,state,Speak another language,271689,0.765,355212,YES,271689,0.765
24,Maryland,LEP,Asian American Alone,state,LEP,103947,0.293,355212,YES,103947,0.293
25,Massachusetts,LEP,Asian American Alone,state,Speak another language,327241,0.783,417918,YES,327241,0.783
25,Massachusetts,LEP,Asian American Alone,state,LEP,143024,0.342,417918,YES,143024,0.342
26,Michigan,LEP,Asian American Alone,state,Speak another language,223702,0.775,288589,YES,223702,0.775
26,Michigan,LEP,Asian American Alone,state,LEP,89708,0.311,288589,YES,89708,0.311
27,Minnesota,LEP,Asian American Alone,state,Speak another language,186069,0.766,242756,YES,186069,0.766
27,Minnesota,LEP,Asian American Alone,state,LEP,82573,0.34,242756,YES,82573,0.34
28,Mississippi,LEP,Asian American Alone,state,Speak another language,19674,0.732,26869,YES,19674,0.732
28,Mississippi,LEP,Asian American Alone,state,LEP,8930,0.332,26869,YES,8930,0.332
29,Missouri,LEP,Asian American Alone,state,Speak another language,82074,0.741,110705,YES,82074,0.741
29,Missouri,LEP,Asian American Alone,state,LEP,35842,0.324,110705,YES,35842,0.324
30,Montana,LEP,Asian American Alone,state,Speak another language,4073,0.52,7828,YES,4073,0.52
30,Montana,LEP,Asian American Alone,state,LEP,1863,0.238,7828,YES,1863,0.238
31,Nebraska,LEP,Asian American Alone,state,Speak another language,31997,0.781,40977,YES,31997,0.781
31,Nebraska,LEP,Asian American Alone,state,LEP,17884,0.436,40977,YES,17884,0.436
32,Nevada,LEP,Asian American Alone,state,Speak another language,155810,0.688,226381,YES,155810,0.688
32,Nevada,LEP,Asian American Alone,state,LEP,61832,0.273,226381,YES,61832,0.273
33,New Hampshire,LEP,Asian American Alone,state,Speak another language,25715,0.753,34131,YES,25715,0.753
33,New Hampshire,LEP,Asian American Alone,state,LEP,10499,0.308,34131,YES,10499,0.308
34,New Jersey,LEP,Asian American Alone,state,Speak another language,612692,0.781,784817,YES,612692,0.781
34,New Jersey,LEP,Asian American Alone,state,LEP,217674,0.277,784817,YES,217674,0.277
35,New Mexico,LEP,Asian American Alone,state,Speak another language,20913,0.692,30242,YES,20913,0.692
35,New Mexico,LEP,Asian American Alone,state,LEP,7815,0.258,30242,YES,7815,0.258
36,New York,LEP,Asian American Alone,state,Speak another language,1224204,0.796,1538623,YES,1224204,0.796
36,New York,LEP,Asian American Alone,state,LEP,668632,0.435,1538623,YES,668632,0.435
37,North Carolina,LEP,Asian American Alone,state,Speak another language,201752,0.764,263958,YES,201752,0.764
37,North Carolina,LEP,Asian American Alone,state,LEP,80816,0.306,263958,YES,80816,0.306
38,North Dakota,LEP,Asian American Alone,state,Speak another language,7386,0.727,10157,YES,7386,0.727
38,North Dakota,LEP,Asian American Alone,state,LEP,3380,0.333,10157,YES,3380,0.333
39,Ohio,LEP,Asian American Alone,state,Speak another language,178865,0.762,234792,YES,178865,0.762
39,Ohio,LEP,Asian American Alone,state,LEP,75343,0.321,234792,YES,75343,0.321
40,Oklahoma,LEP,Asian American Alone,state,Speak another language,59277,0.757,78354,YES,59277,0.757
40,Oklahoma,LEP,Asian American Alone,state,LEP,26840,0.343,78354,YES,26840,0.343
41,Oregon,LEP,Asian American Alone,state,Speak another language,117344,0.702,167091,YES,117344,0.702
41,Oregon,LEP,Asian American Alone,state,LEP,54680,0.327,167091,YES,54680,0.327
42,Pennsylvania,LEP,Asian American Alone,state,Speak another language,315075,0.78,403769,YES,315075,0.78
42,Pennsylvania,LEP,Asian American Alone,state,LEP,142639,0.353,403769,YES,142639,0.353
44,Rhode Island,LEP,Asian American Alone,state,Speak another language,25008,0.746,33531,YES,25008,0.746
44,Rhode Island,LEP,Asian American Alone,state,LEP,10679,0.318,33531,YES,10679,0.318
45,South Carolina,LEP,Asian American Alone,state,Speak another language,49839,0.698,71383,YES,49839,0.698
45,South Carolina,LEP,Asian American Alone,state,LEP,22515,0.315,71383,YES,22515,0.315
46,South Dakota,LEP,Asian American Alone,state,Speak another language,8730,0.746,11701,YES,8730,0.746
46,South Dakota,LEP,Asian American Alone,state,LEP,5024,0.429,11701,YES,5024,0.429
47,Tennessee,LEP,Asian American Alone,state,Speak another language,78600,0.739,106293,YES,78600,0.739
47,Tennessee,LEP,Asian American Alone,state,LEP,34598,0.325,106293,YES,34598,0.325
48,Texas,LEP,Asian American Alone,state,Speak another language,973541,0.793,1227889,YES,973541,0.793
48,Texas,LEP,Asian American Alone,state,LEP,390809,0.318,1227889,YES,390809,0.318
49,Utah,LEP,Asian American Alone,state,Speak another language,46055,0.694,66338,YES,46055,0.694
49,Utah,LEP,Asian American Alone,state,LEP,20863,0.314,66338,YES,20863,0.314
50,Vermont,LEP,Asian American Alone,state,Speak another language,7424,0.735,10102,YES,7424,0.735
50,Vermont,LEP,Asian American Alone,state,LEP,3431,0.34,10102,YES,3431,0.34
51,Virginia,LEP,Asian American Alone,state,Speak another language,382458,0.758,504429,YES,382458,0.758
51,Virginia,LEP,Asian American Alone,state,LEP,146322,0.29,504429,YES,146322,0.29
53,Washington,LEP,Asian American Alone,state,Speak another language,419952,0.727,577849,YES,419952,0.727
53,Washington,LEP,Asian American Alone,state,LEP,183291,0.317,577849,YES,183291,0.317
54,West Virginia,LEP,Asian American Alone,state,Speak another language,9835,0.712,13816,YES,9835,0.712
54,West Virginia,LEP,Asian American Alone,state,LEP,3457,0.25,13816,YES,3457,0.25
55,Wisconsin,LEP,Asian American Alone,state,Speak another language,110440,0.75,147260,YES,110440,0.75
55,Wisconsin,LEP,Asian American Alone,state,LEP,45506,0.309,147260,YES,45506,0.309
56,Wyoming,LEP,Asian American Alone,state,Speak another language,2657,0.582,4565,YES,2657,0.582
56,Wyoming,LEP,Asian American Alone,state,LEP,1326,0.29,4565,YES,1326,0.29
01001,"Autauga County, Alabama",LEP,Asian American Alone,county,Speak another language,477,0.847,563,YES,477,0.847
01001,"Autauga County, Alabama",LEP,Asian American Alone,county,LEP,244,0.433,563,NO,,
01003,"Baldwin County, Alabama",LEP,Asian American Alone,county,Speak another language,832,0.523,1592,YES,832,0.523
01003,"Baldwin County, Alabama",LEP,Asian American Alone,county,LEP,589,0.37,1592,NO,,
01005,"Barbour County, Alabama",LEP,Asian American Alone,county,Speak another language,90,1,90,YES,90,1
01005,"Barbour County, Alabama",LEP,Asian American Alone,county,LEP,61,0.678,90,NO,,
01007,"Bibb County, Alabama",LEP,Asian American Alone,county,Speak another language,37,1,37,NO,,
01007,"Bibb County, Alabama",LEP,Asian American Alone,county,LEP,0,0,37,NO,,
01009,"Blount County, Alabama",LEP,Asian American Alone,county,Speak another language,96,0.485,198,NO,,
01009,"Blount County, Alabama",LEP,Asian American Alone,county,LEP,12,0.061,198,NO,,
01011,"Bullock County, Alabama",LEP,Asian American Alone,county,Speak another language,23,0.548,42,NO,,
01011,"Bullock County, Alabama",LEP,Asian American Alone,county,LEP,0,0,42,NO,,
01013,"Butler County, Alabama",LEP,Asian American Alone,county,Speak another language,162,0.733,221,NO,,
01013,"Butler County, Alabama",LEP,Asian American Alone,county,LEP,100,0.452,221,NO,,
01015,"Calhoun County, Alabama",LEP,Asian American Alone,county,Speak another language,560,0.543,1032,YES,560,0.543
01015,"Calhoun County, Alabama",LEP,Asian American Alone,county,LEP,350,0.339,1032,NO,,
01017,"Chambers County, Alabama",LEP,Asian American Alone,county,Speak another language,283,0.699,405,YES,283,0.699
01017,"Chambers County, Alabama",LEP,Asian American Alone,county,LEP,189,0.467,405,NO,,
01019,"Cherokee County, Alabama",LEP,Asian American Alone,county,Speak another language,12,0.218,55,NO,,
01019,"Cherokee County, Alabama",LEP,Asian American Alone,county,LEP,0,0,55,NO,,
01021,"Chilton County, Alabama",LEP,Asian American Alone,county,Speak another language,157,0.975,161,NO,,
01021,"Chilton County, Alabama",LEP,Asian American Alone,county,LEP,40,0.248,161,NO,,
01023,"Choctaw County, Alabama",LEP,Asian American Alone,county,Speak another language,0,0,13,NO,,
01023,"Choctaw County, Alabama",LEP,Asian American Alone,county,LEP,0,0,13,NO,,
01025,"Clarke County, Alabama",LEP,Asian American Alone,county,Speak another language,42,0.341,123,NO,,
01025,"Clarke County, Alabama",LEP,Asian American Alone,county,LEP,37,0.301,123,NO,,
01027,"Clay County, Alabama",LEP,Asian American Alone,county,Speak another language,0,0,18,NO,,
01027,"Clay County, Alabama",LEP,Asian American Alone,county,LEP,0,0,18,NO,,
01029,"Cleburne County, Alabama",LEP,Asian American Alone,county,Speak another language,0,0,3,NO,,
01029,"Cleburne County, Alabama",LEP,Asian American Alone,county,LEP,0,0,3,NO,,
01031,"Coffee County, Alabama",LEP,Asian American Alone,county,Speak another language,408,0.658,620,YES,408,0.658
01031,"Coffee County, Alabama",LEP,Asian American Alone,county,LEP,237,0.382,620,NO,,
01033,"Colbert County, Alabama",LEP,Asian American Alone,county,Speak another language,216,0.815,265,YES,216,0.815
01033,"Colbert County, Alabama",LEP,Asian American Alone,county,LEP,107,0.404,265,NO,,
01035,"Conecuh County, Alabama",LEP,Asian American Alone,county,Speak another language,0,0,18,NO,,
01035,"Conecuh County, Alabama",LEP,Asian American Alone,county,LEP,0,0,18,NO,,
01037,"Coosa County, Alabama",LEP,Asian American Alone,county,Speak another language,0,,0,NO,,
01037,"Coosa County, Alabama",LEP,Asian American Alone,county,LEP,0,,0,NO,,
01039,"Covington County, Alabama",LEP,Asian American Alone,county,Speak another language,123,0.774,159,NO,,
01039,"Covington County, Alabama",LEP,Asian American Alone,county,LEP,67,0.421,159,NO,,
01041,"Crenshaw County, Alabama",LEP,Asian American Alone,county,Speak another language,120,0.833,144,NO,,
01041,"Crenshaw County, Alabama",LEP,Asian American Alone,county,LEP,86,0.597,144,NO,,
01043,"Cullman County, Alabama",LEP,Asian American Alone,county,Speak another language,199,0.644,309,NO,,
01043,"Cullman County, Alabama",LEP,Asian American Alone,county,LEP,135,0.437,309,NO,,
01045,"Dale County, Alabama",LEP,Asian American Alone,county,Speak another language,348,0.585,595,YES,348,0.585
01045,"Dale County, Alabama",LEP,Asian American Alone,county,LEP,133,0.224,595,NO,,
01047,"Dallas County, Alabama",LEP,Asian American Alone,county,Speak another language,166,0.902,184,YES,166,0.902
01047,"Dallas County, Alabama",LEP,Asian American Alone,county,LEP,76,0.413,184,NO,,
01049,"DeKalb County, Alabama",LEP,Asian American Alone,county,Speak another language,65,0.464,140,NO,,
01049,"DeKalb County, Alabama",LEP,Asian American Alone,county,LEP,65,0.464,140,NO,,
01051,"Elmore County, Alabama",LEP,Asian American Alone,county,Speak another language,251,0.661,380,YES,251,0.661
01051,"Elmore County, Alabama",LEP,Asian American Alone,county,LEP,90,0.237,380,NO,,
01053,"Escambia County, Alabama",LEP,Asian American Alone,county,Speak another language,105,0.778,135,NO,,
01053,"Escambia County, Alabama",LEP,Asian American Alone,county,LEP,105,0.778,135,NO,,
01055,"Etowah County, Alabama",LEP,Asian American Alone,county,Speak another language,570,0.786,725,YES,570,0.786
01055,"Etowah County, Alabama",LEP,Asian American Alone,county,LEP,295,0.407,725,NO,,
01057,"Fayette County, Alabama",LEP,Asian American Alone,county,Speak another language,70,0.648,108,NO,,
01057,"Fayette County, Alabama",LEP,Asian American Alone,county,LEP,18,0.167,108,NO,,
01059,"Franklin County, Alabama",LEP,Asian American Alone,county,Speak another language,98,0.951,103,YES,98,0.951
01059,"Franklin County, Alabama",LEP,Asian American Alone,county,LEP,95,0.922,103,YES,95,0.922
01061,"Geneva County, Alabama",LEP,Asian American Alone,county,Speak another language,109,1,109,YES,109,1
01061,"Geneva County, Alabama",LEP,Asian American Alone,county,LEP,88,0.807,109,NO,,
01063,"Greene County, Alabama",LEP,Asian American Alone,county,Speak another language,0,,0,NO,,
01063,"Greene County, Alabama",LEP,Asian American Alone,county,LEP,0,,0,NO,,
01065,"Hale County, Alabama",LEP,Asian American Alone,county,Speak another language,16,0.615,26,NO,,
01065,"Hale County, Alabama",LEP,Asian American Alone,county,LEP,16,0.615,26,NO,,
01067,"Henry County, Alabama",LEP,Asian American Alone,county,Speak another language,0,,0,NO,,
01067,"Henry County, Alabama",LEP,Asian American Alone,county,LEP,0,,0,NO,,
01069,"Houston County, Alabama",LEP,Asian American Alone,county,Speak another language,587,0.697,842,YES,587,0.697
01069,"Houston County, Alabama",LEP,Asian American Alone,county,LEP,276,0.328,842,YES,276,0.328
01071,"Jackson County, Alabama",LEP,Asian American Alone,county,Speak another language,132,0.65,203,YES,132,0.65
01071,"Jackson County, Alabama",LEP,Asian American Alone,county,LEP,93,0.458,203,NO,,
01073,"Jefferson County, Alabama",LEP,Asian American Alone,county,Speak another language,7591,0.79,9604,YES,7591,0.79
01073,"Jefferson County, Alabama",LEP,Asian American Alone,county,LEP,3411,0.355,9604,YES,3411,0.355
01075,"Lamar County, Alabama",LEP,Asian American Alone,county,Speak another language,0,,0,NO,,
01075,"Lamar County, Alabama",LEP,Asian American Alone,county,LEP,0,,0,NO,,
01077,"Lauderdale County, Alabama",LEP,Asian American Alone,county,Speak another language,399,0.662,603,YES,399,0.662
01077,"Lauderdale County, Alabama",LEP,Asian American Alone,county,LEP,150,0.249,603,NO,,
01079,"Lawrence County, Alabama",LEP,Asian American Alone,county,Speak another language,39,0.886,44,NO,,
01079,"Lawrence County, Alabama",LEP,Asian American Alone,county,LEP,7,0.159,44,NO,,
01081,"Lee County, Alabama",LEP,Asian American Alone,county,Speak another language,4843,0.794,6103,YES,4843,0.794
01081,"Lee County, Alabama",LEP,Asian American Alone,county,LEP,2954,0.484,6103,YES,2954,0.484
01083,"Limestone County, Alabama",LEP,Asian American Alone,county,Speak another language,768,0.654,1174,YES,768,0.654
01083,"Limestone County, Alabama",LEP,Asian American Alone,county,LEP,266,0.227,1174,NO,,
01085,"Lowndes County, Alabama",LEP,Asian American Alone,county,Speak another language,0,,0,NO,,
01085,"Lowndes County, Alabama",LEP,Asian American Alone,county,LEP,0,,0,NO,,
01087,"Macon County, Alabama",LEP,Asian American Alone,county,Speak another language,40,0.8,50,NO,,
01087,"Macon County, Alabama",LEP,Asian American Alone,county,LEP,5,0.1,50,NO,,
01089,"Madison County, Alabama",LEP,Asian American Alone,county,Speak another language,5899,0.674,8756,YES,5899,0.674
01089,"Madison County, Alabama",LEP,Asian American Alone,county,LEP,2179,0.249,8756,YES,2179,0.249
