GEOID,NAME,topic,group,geography,label,estimate,pct,summary_est,reliable,estimate_reliable,pct_reliable
1,United States,nativity,Asian American Alone,national,Foreign-born,11651210,0.663,17574550,YES,11651210,0.663
01,Alabama,nativity,Asian American Alone,state,Foreign-born,46303,0.717,64609,YES,46303,0.717
02,Alaska,nativity,Asian American Alone,state,Foreign-born,30430,0.654,46556,YES,30430,0.654
04,Arizona,nativity,Asian American Alone,state,Foreign-born,155493,0.679,228887,YES,155493,0.679
05,Arkansas,nativity,Asian American Alone,state,Foreign-born,29570,0.672,43988,YES,29570,0.672
06,California,nativity,Asian American Alone,state,Foreign-born,3556429,0.635,5604339,YES,3556429,0.635
08,Colorado,nativity,Asian American Alone,state,Foreign-born,111877,0.648,172695,YES,111877,0.648
09,Connecticut,nativity,Asian American Alone,state,Foreign-born,112901,0.711,158817,YES,112901,0.711
10,Delaware,nativity,Asian American Alone,state,Foreign-born,27272,0.743,36723,YES,27272,0.743
11,District of Columbia,nativity,Asian American Alone,state,Foreign-born,16086,0.602,26718,YES,16086,0.602
12,Florida,nativity,Asian American Alone,state,Foreign-born,393684,0.704,559168,YES,393684,0.704
13,Georgia,nativity,Asian American Alone,state,Foreign-born,282379,0.702,402501,YES,282379,0.702
15,Hawaii,nativity,Asian American Alone,state,Foreign-born,201195,0.375,536842,YES,201195,0.375
16,Idaho,nativity,Asian American Alone,state,Foreign-born,15465,0.651,23758,YES,15465,0.651
17,Illinois,nativity,Asian American Alone,state,Foreign-born,472344,0.684,690822,YES,472344,0.684
18,Indiana,nativity,Asian American Alone,state,Foreign-born,107388,0.741,144991,YES,107388,0.741
19,Iowa,nativity,Asian American Alone,state,Foreign-born,54481,0.726,75083,YES,54481,0.726
20,Kansas,nativity,Asian American Alone,state,Foreign-born,59648,0.714,83531,YES,59648,0.714
21,Kentucky,nativity,Asian American Alone,state,Foreign-born,46449,0.74,62802,YES,46449,0.74
22,Louisiana,nativity,Asian American Alone,state,Foreign-born,51216,0.641,79872,YES,51216,0.641
23,Maine,nativity,Asian American Alone,state,Foreign-born,10437,0.7,14917,YES,10437,0.7
24,Maryland,nativity,Asian American Alone,state,Foreign-born,260035,0.695,374277,YES,260035,0.695
25,Massachusetts,nativity,Asian American Alone,state,Foreign-born,301604,0.681,442574,YES,301604,0.681
26,Michigan,nativity,Asian American Alone,state,Foreign-born,218977,0.719,304403,YES,218977,0.719
27,Minnesota,nativity,Asian American Alone,state,Foreign-born,160990,0.614,262359,YES,160990,0.614
28,Mississippi,nativity,Asian American Alone,state,Foreign-born,18800,0.664,28313,YES,18800,0.664
29,Missouri,nativity,Asian American Alone,state,Foreign-born,82816,0.71,116720,YES,82816,0.71
30,Montana,nativity,Asian American Alone,state,Foreign-born,5461,0.687,7947,YES,5461,0.687
31,Nebraska,nativity,Asian American Alone,state,Foreign-born,32546,0.738,44105,YES,32546,0.738
32,Nevada,nativity,Asian American Alone,state,Foreign-born,153856,0.656,234693,YES,153856,0.656
33,New Hampshire,nativity,Asian American Alone,state,Foreign-born,26803,0.742,36124,YES,26803,0.742
34,New Jersey,nativity,Asian American Alone,state,Foreign-born,583495,0.701,832403,YES,583495,0.701
35,New Mexico,nativity,Asian American Alone,state,Foreign-born,20604,0.654,31513,YES,20604,0.654
36,New York,nativity,Asian American Alone,state,Foreign-born,1146871,0.703,1630341,YES,1146871,0.703
37,North Carolina,nativity,Asian American Alone,state,Foreign-born,195041,0.691,282264,YES,195041,0.691
38,North Dakota,nativity,Asian American Alone,state,Foreign-born,8589,0.794,10814,YES,8589,0.794
39,Ohio,nativity,Asian American Alone,state,Foreign-born,182012,0.729,249741,YES,182012,0.729
40,Oklahoma,nativity,Asian American Alone,state,Foreign-born,57254,0.687,83392,YES,57254,0.687
41,Oregon,nativity,Asian American Alone,state,Foreign-born,114437,0.656,174510,YES,114437,0.656
42,Pennsylvania,nativity,Asian American Alone,state,Foreign-born,298035,0.697,427892,YES,298035,0.697
44,Rhode Island,nativity,Asian American Alone,state,Foreign-born,22857,0.641,35663,YES,22857,0.641
45,South Carolina,nativity,Asian American Alone,state,Foreign-born,51843,0.69,75084,YES,51843,0.69
46,South Dakota,nativity,Asian American Alone,state,Foreign-born,9656,0.763,12660,YES,9656,0.763
47,Tennessee,nativity,Asian American Alone,state,Foreign-born,79260,0.702,112915,YES,79260,0.702
48,Texas,nativity,Asian American Alone,state,Foreign-born,904928,0.692,1308257,YES,904928,0.692
49,Utah,nativity,Asian American Alone,state,Foreign-born,45893,0.657,69810,YES,45893,0.657
50,Vermont,nativity,Asian American Alone,state,Foreign-born,8034,0.759,10579,YES,8034,0.759
51,Virginia,nativity,Asian American Alone,state,Foreign-born,366829,0.69,531503,YES,366829,0.69
53,Washington,nativity,Asian American Alone,state,Foreign-born,403632,0.664,607429,YES,403632,0.664
54,West Virginia,nativity,Asian American Alone,state,Foreign-born,10464,0.72,14534,YES,10464,0.72
55,Wisconsin,nativity,Asian American Alone,state,Foreign-born,95320,0.598,159356,YES,95320,0.598
56,Wyoming,nativity,Asian American Alone,state,Foreign-born,3221,0.677,4756,YES,3221,0.677
01001,"Autauga County, Alabama",nativity,Asian American Alone,county,Foreign-born,426,0.75,568,YES,426,0.75
01003,"Baldwin County, Alabama",nativity,Asian American Alone,county,Foreign-born,1265,0.753,1680,YES,1265,0.753
01005,"Barbour County, Alabama",nativity,Asian American Alone,county,Foreign-born,80,0.833,96,NO,,
01007,"Bibb County, Alabama",nativity,Asian American Alone,county,Foreign-born,37,1,37,NO,,
01009,"Blount County, Alabama",nativity,Asian American Alone,county,Foreign-born,179,0.904,198,NO,,
01011,"Bullock County, Alabama",nativity,Asian American Alone,county,Foreign-born,23,0.411,56,NO,,
01013,"Butler County, Alabama",nativity,Asian American Alone,county,Foreign-born,216,0.935,231,NO,,
01015,"Calhoun County, Alabama",nativity,Asian American Alone,county,Foreign-born,776,0.729,1065,YES,776,0.729
01017,"Chambers County, Alabama",nativity,Asian American Alone,county,Foreign-born,324,0.8,405,NO,,
01019,"Cherokee County, Alabama",nativity,Asian American Alone,county,Foreign-born,42,0.764,55,NO,,
01021,"Chilton County, Alabama",nativity,Asian American Alone,county,Foreign-born,131,0.689,190,NO,,
