geography,NAME,group,topic,label,estimate,pct,summary_est,reliable,estimate_reliable,pct_reliable
state,Hawaii,Asian American Alone,undoc,Undocumented,25316,0.047,534479,YES,25316,0.047
state,District of Columbia,Asian American Alone,undoc,Undocumented,1179,0.043,27538,YES,1179,0.043
state,Delaware,Asian American Alone,undoc,Undocumented,5919,0.152,39023,YES,5919,0.152
state,California,Asian American Alone,undoc,Undocumented,451742,0.078,5821585,YES,451742,0.078
state,Washington,Asian American Alone,undoc,Undocumented,70413,0.106,661781,YES,70413,0.106
state,Oregon,Asian American Alone,undoc,Undocumented,15133,0.079,190680,YES,15133,0.079
state,Alaska,Asian American Alone,undoc,Undocumented,4569,0.099,46381,YES,4569,0.099
state,Nevada,Asian American Alone,undoc,Undocumented,19140,0.077,250137,YES,19140,0.077
state,Arizona,Asian American Alone,undoc,Undocumented,23367,0.098,237873,YES,23367,0.098
state,Utah,Asian American Alone,undoc,Undocumented,8127,0.107,75898,YES,8127,0.107
state,Idaho,Asian American Alone,undoc,Undocumented,2264,0.084,27026,YES,2264,0.084
state,Montana,Asian American Alone,undoc,Undocumented,,,8517,YES,,
state,Wyoming,Asian American Alone,undoc,Undocumented,,,5807,YES,,
state,Colorado,Asian American Alone,undoc,Undocumented,15579,0.086,180277,YES,15579,0.086
state,New Mexico,Asian American Alone,undoc,Undocumented,2027,0.059,34155,YES,2027,0.059
state,Texas,Asian American Alone,undoc,Undocumented,181877,0.127,1430857,YES,181877,0.127
state,Oklahoma,Asian American Alone,undoc,Undocumented,8156,0.096,84694,YES,8156,0.096
state,Kansas,Asian American Alone,undoc,Undocumented,9557,0.116,82444,YES,9557,0.116
state,Nebraska,Asian American Alone,undoc,Undocumented,6531,0.143,45779,YES,6531,0.143
state,South Dakota,Asian American Alone,undoc,Undocumented,1713,0.114,15023,YES,1713,0.114
state,North Dakota,Asian American Alone,undoc,Undocumented,2711,0.197,13749,YES,2711,0.197
state,Minnesota,Asian American Alone,undoc,Undocumented,19205,0.07,273126,YES,19205,0.07
state,Iowa,Asian American Alone,undoc,Undocumented,10794,0.135,79971,YES,10794,0.135
state,Missouri,Asian American Alone,undoc,Undocumented,12538,0.103,121417,YES,12538,0.103
state,Arkansas,Asian American Alone,undoc,Undocumented,7855,0.165,47548,YES,7855,0.165
state,Louisiana,Asian American Alone,undoc,Undocumented,7383,0.097,76255,YES,7383,0.097
state,Wisconsin,Asian American Alone,undoc,Undocumented,13508,0.082,165380,YES,13508,0.082
state,Illinois,Asian American Alone,undoc,Undocumented,76369,0.106,717938,YES,76369,0.106
state,Mississippi,Asian American Alone,undoc,Undocumented,4194,0.16,26142,YES,4194,0.16
state,Alabama,Asian American Alone,undoc,Undocumented,6082,0.093,65095,YES,6082,0.093
state,Georgia,Asian American Alone,undoc,Undocumented,58081,0.133,436051,YES,58081,0.133
state,Florida,Asian American Alone,undoc,Undocumented,49986,0.084,593634,YES,49986,0.084
state,South Carolina,Asian American Alone,undoc,Undocumented,8468,0.105,80969,YES,8468,0.105
state,Tennessee,Asian American Alone,undoc,Undocumented,19211,0.161,119046,YES,19211,0.161
state,North Carolina,Asian American Alone,undoc,Undocumented,44477,0.145,306682,YES,44477,0.145
state,Kentucky,Asian American Alone,undoc,Undocumented,6418,0.098,65300,YES,6418,0.098
state,Virginia,Asian American Alone,undoc,Undocumented,56059,0.101,555422,YES,56059,0.101
state,West Virginia,Asian American Alone,undoc,Undocumented,,,13459,YES,,
state,Indiana,Asian American Alone,undoc,Undocumented,19590,0.127,154220,YES,19590,0.127
state,Ohio,Asian American Alone,undoc,Undocumented,34317,0.126,271762,YES,34317,0.126
state,Michigan,Asian American Alone,undoc,Undocumented,44814,0.138,325828,YES,44814,0.138
state,Pennsylvania,Asian American Alone,undoc,Undocumented,53269,0.117,455027,YES,53269,0.117
state,Maryland,Asian American Alone,undoc,Undocumented,36331,0.096,378985,YES,36331,0.096
state,New Jersey,Asian American Alone,undoc,Undocumented,110628,0.127,868213,YES,110628,0.127
state,New York,Asian American Alone,undoc,Undocumented,137164,0.082,1666113,YES,137164,0.082
state,Connecticut,Asian American Alone,undoc,Undocumented,20016,0.121,165855,YES,20016,0.121
state,Rhode Island,Asian American Alone,undoc,Undocumented,2467,0.068,36064,YES,2467,0.068
state,Massachusetts,Asian American Alone,undoc,Undocumented,44167,0.093,472403,YES,44167,0.093
state,Vermont,Asian American Alone,undoc,Undocumented,,,11859,YES,,
state,New Hampshire,Asian American Alone,undoc,Undocumented,2728,0.076,36048,YES,2728,0.076
state,Maine,Asian American Alone,undoc,Undocumented,1551,0.099,15683,YES,1551,0.099
