geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,01000US,1,322903030,0,249349790,7767,300613540,137095,228918195,132935
United States,Not Hispanic or Latino,01000US,2,265385095,1660,210179680,6244,255549430,51280,201325160,49878
United States,American Indian or Alaska Native Alone,01000US,3,2149095,7989,1583650,5723,2137345,7966,1573075,5695
United States,Asian Alone,01000US,4,17580125,23144,14075120,13373,12674005,18043,9635245,18421
United States,Black or African American Alone,01000US,5,39975000,34792,29979910,15809,38402375,32559,28603020,16986
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,537170,4877,405855,3180,465730,5002,342685,3645
United States,White Alone,01000US,7,197717990,1515,160106705,1246,194635970,22147,157300940,19080
United States,American Indian or Alaska Native and White,01000US,8,1545710,8726,1150960,7432,1541910,8721,1147425,7406
United States,Asian and White,01000US,9,1998760,21863,1013685,12697,1879015,21761,919215,12239
United States,Black or African American and White,01000US,10,2356495,28233,893580,11627,2333970,28182,874180,11566
United States,American Indian or Alaska Native and Black or African American,01000US,11,284915,6315,213795,4669,283360,6290,212465,4696
United States,Remainder of Two or More Race Responses,01000US,12,1239840,14607,756430,10153,1195750,14668,716910,10025
United States,Hispanic or Latino,01000US,13,57517935,1656,39170110,2459,45064110,92223,27593035,88344
