pop_18,race,state
451742,Asian American,California
70413,Asian American,Washington
15133,Asian American,Oregon
4569,Asian American,Alaska
19140,Asian American,Nevada
23367,Asian American,Arizona
8127,Asian American,Utah
2264,Asian American,Idaho
*,Asian American,Montana
*,Asian American,Wyoming
15579,Asian American,Colorado
2027,Asian American,New Mexico
181877,Asian American,Texas
8156,Asian American,Oklahoma
9557,Asian American,Kansas
6531,Asian American,Nebraska
1713,Asian American,South Dakota
2711,Asian American,North Dakota
19205,Asian American,Minnesota
10794,Asian American,Iowa
12538,Asian American,Missouri
7855,Asian American,Arkansas
7383,Asian American,Louisiana
13508,Asian American,Wisconsin
76369,Asian American,Illinois
4194,Asian American,Mississippi
6082,Asian American,Alabama
58081,Asian American,Georgia
49986,Asian American,Florida
8468,Asian American,South Carolina
19211,Asian American,Tennessee
44477,Asian American,North Carolina
6418,Asian American,Kentucky
56059,Asian American,Virginia
*,Asian American,West Virginia
19590,Asian American,Indiana
34317,Asian American,Ohio
44814,Asian American,Michigan
53269,Asian American,Pennsylvania
36331,Asian American,Maryland
110628,Asian American,New Jersey
137164,Asian American,New York
20016,Asian American,Connecticut
2467,Asian American,Rhode Island
44167,Asian American,Massachusetts
*,Asian American,Vermont
2728,Asian American,New Hampshire
1551,Asian American,Maine
