GEOID,NAME,variable,estimate,moe
01,Alabama,B01003_001,4864680,
02,Alaska,B01003_001,738516,
04,Arizona,B01003_001,6946685,
05,Arkansas,B01003_001,2990671,
06,California,B01003_001,39148760,
08,Colorado,B01003_001,5531141,
09,Connecticut,B01003_001,3581504,
10,Delaware,B01003_001,949495,
11,District of Columbia,B01003_001,684498,
12,Florida,B01003_001,20598139,
13,Georgia,B01003_001,10297484,
15,Hawaii,B01003_001,1422029,
16,Idaho,B01003_001,1687809,
17,Illinois,B01003_001,12821497,
18,Indiana,B01003_001,6637426,
19,Iowa,B01003_001,3132499,
20,Kansas,B01003_001,2908776,
21,Kentucky,B01003_001,4440204,
22,Louisiana,B01003_001,4663616,
23,Maine,B01003_001,1332813,
24,Maryland,B01003_001,6003435,
25,Massachusetts,B01003_001,6830193,
26,Michigan,B01003_001,9957488,
27,Minnesota,B01003_001,5527358,
28,Mississippi,B01003_001,2988762,
29,Missouri,B01003_001,6090062,
30,Montana,B01003_001,1041732,
31,Nebraska,B01003_001,1904760,
32,Nevada,B01003_001,2922849,
33,New Hampshire,B01003_001,1343622,
34,New Jersey,B01003_001,8881845,
35,New Mexico,B01003_001,2092434,
36,New York,B01003_001,19618453,
37,North Carolina,B01003_001,10155624,
38,North Dakota,B01003_001,752201,
39,Ohio,B01003_001,11641879,
40,Oklahoma,B01003_001,3918137,
41,Oregon,B01003_001,4081943,
42,Pennsylvania,B01003_001,12791181,
44,Rhode Island,B01003_001,1056611,
45,South Carolina,B01003_001,4955925,
46,South Dakota,B01003_001,864289,
47,Tennessee,B01003_001,6651089,
48,Texas,B01003_001,27885195,
49,Utah,B01003_001,3045350,
50,Vermont,B01003_001,624977,
51,Virginia,B01003_001,8413774,
53,Washington,B01003_001,7294336,
54,West Virginia,B01003_001,1829054,
55,Wisconsin,B01003_001,5778394,
56,Wyoming,B01003_001,581836,
72,Puerto Rico,B01003_001,3386941,
